frame,x [nm],y [nm],z [nm],intensity [au]
3.0,25610.491439372283,96394.4145706892,61085.63305511151,113.65599060058594
3.0,164217.1150349826,138889.0937500596,60586.50855664853,96.64254760742188
3.0,279334.69764038175,234766.25,60340.27507275711,417.1888732910156
3.0,44683.68259438873,262275.65410417324,60230.35608691934,168.7246551513672
3.0,98879.08780620992,261082.9010837376,64889.681831370166,38.210243225097656
3.0,162204.44783781472,339166.80639413005,64721.25655890983,50.69387435913086
3.0,198477.37940011919,132948.86307372234,70288.98637235901,305.3896179199219
3.0,100894.04753251374,295864.14705123386,73988.91360671433,257.50750732421875
3.0,216651.42737010124,72607.98392870277,75664.3491026796,89.73234558105469
3.0,214576.7573174164,116380.65278306232,75912.67044161573,333.31280517578125
3.0,340683.07155656815,190501.0656082034,78147.9768363046,17.297740936279297
3.0,176027.26577150825,62035.234228491776,81554.85954549577,396.6127014160156
3.0,19642.606410652377,269248.2541879714,85558.14143684175,195.1771697998047
3.0,207040.93292479217,106762.06707520784,88530.20644114341,465.2371520996094
3.0,168187.2513422072,292780.25,88988.28633037614,296.3855895996094
3.0,153139.63426622003,232696.2648634762,89325.82943895715,259.3372802734375
3.0,48281.55675615743,183835.01637727022,90548.92243426522,179.81423950195312
3.0,88434.23388465494,333362.39340251085,92910.58850509148,473.4123229980469
3.0,179786.93632356822,91502.2212195471,95679.01234567902,172.53407287597656
4.0,248752.9838149399,293366.25000000006,4320.9876543209875,484.0401611328125
4.0,114931.6864777552,297169.7225199379,5736.875920384018,564.69287109375
4.0,69235.80022637546,338498.1201030351,9020.716467021424,185.2068328857422
4.0,324077.5924221575,297060.33011255413,13646.446996264986,132.85426330566406
4.0,93106.20983263478,276576.8371395916,15577.13500511499,68.15924072265625
4.0,30053.298697948434,310701.0097385943,15456.404760020014,87.20880889892578
4.0,205170.81899725925,258828.96010285616,16590.104256699113,247.93771362304688
4.0,191695.25000000003,205759.25,20370.37037037037,746.2438354492188
4.0,15340.082727238525,136706.96199336648,22018.13510906549,181.70448303222656
4.0,272598.5793164373,43079.65119956432,33026.42342485027,143.18963623046875
4.0,150185.963213712,190868.38722221553,32977.051922568564,237.3459930419922
4.0,85629.25,245714.85100470486,37654.32098765432,249.47418212890625
4.0,223192.75000000003,206638.25000000003,46311.59203816894,553.3807373046875
4.0,133408.3832348287,33637.597863741204,50017.828583993294,682.1555786132812
4.0,296735.75000000006,7837.75,51009.29262461485,644.9500732421875
4.0,345959.75000000006,259525.4144180671,51234.567901234564,800.0
4.0,13686.60176379234,345991.5703517348,51164.25066450496,46.204063415527344
4.0,342620.15099678934,106732.00157093443,52768.964458394934,480.47418212890625
4.0,15422.637950897211,77142.10648098959,55749.11229404402,23.195819854736328
4.0,162945.7882637456,111429.97050638497,55955.79747064614,190.81423950195312
4.0,249269.75000000003,106972.41276863219,57120.484923139025,409.85821533203125
4.0,275590.7612996698,55214.47837877273,59750.02234364733,79.30986022949219
4.0,320179.141146834,109277.72247006,59475.03042809757,239.2989044189453
4.0,161383.34147996086,137186.69415249676,59371.42578172094,303.9808044433594
4.0,170611.01497322696,179850.05990886688,58430.71978033324,470.8681945800781
4.0,31372.855144336823,96270.87541908026,61596.03271955325,48.758174896240234
4.0,107164.75,229930.5015329793,59890.53941067354,348.1131591796875
4.0,278705.06532045454,235205.75000000003,61657.03019978087,398.464111328125
4.0,158720.4318756722,342272.990844056,61807.49631222383,53.50728988647461
4.0,25343.928057461966,68241.19706891477,63443.09725143291,147.7446746826172
4.0,98390.02003250644,260470.23308734596,66070.58171734765,70.5410385131836
4.0,45334.057475356385,265061.14318259805,66459.69851517383,43.752037048339844
4.0,218841.6774991751,77655.74327942729,71554.29507479255,15.338030815124512
4.0,202619.98282766342,134678.7117633596,71442.8577894046,187.30810546875
4.0,343319.5341472253,192281.25,71200.70884257187,483.91973876953125
4.0,215835.86909783634,113432.05906750262,76138.49890084914,173.49270629882812
4.0,176753.73685554604,66331.64124672115,79276.22059245167,344.0256652832031
4.0,346165.2475201041,290824.1593187005,78463.98596410398,18.14954376220703
4.0,203143.02425685525,105775.39440631866,88738.8171237192,227.61090087890625
4.0,151943.37716886404,232594.05330538008,87376.19158662394,328.6424560546875
4.0,22417.60913583636,271087.7141194903,87365.86386774792,255.06997680664062
4.0,87233.06779995002,333092.4717488215,88947.42510201018,342.00103759765625
4.0,46125.03166714311,185274.11464495215,90928.64935044888,234.82247924804688
4.0,164032.5277476907,291406.78958702093,91720.51195745113,334.8621826171875
4.0,180897.9612841308,88591.7723673433,95679.01234567902,161.0862274169922
4.0,32550.039402335868,297078.54051488644,95679.01234567902,14.019111633300781
5.0,337851.28762245184,6384.835500612837,3086.41975308642,21.085901260375977
5.0,120902.82819891721,26096.22870481013,3086.41975308642,57.13203048706055
5.0,248162.24806278944,293320.391907692,3086.41975308642,231.87066650390625
5.0,69874.46318969129,341938.77963314956,3086.41975308642,11.182653427124023
5.0,110616.56756262481,296184.86507484317,5555.555555555556,329.04656982421875
5.0,69315.9019100666,340195.8763567806,10292.804204387428,23.205944061279297
5.0,231836.25,181440.25000000003,12625.743135993864,442.753173828125
5.0,29666.249999999993,308688.88665045804,14804.730481571622,100.46932983398438
5.0,93686.75,280327.75000000006,17672.152210164953,406.3282165527344
5.0,14137.249999999995,139380.377591528,19135.8024691358,202.4366455078125
5.0,206001.31789657476,260403.75,18875.15354671596,95.87633514404297
5.0,239747.25,9885.756854298506,22945.432972024984,294.5149230957031
5.0,267001.4393133279,159921.86448912323,23558.272734100436,383.9075012207031
5.0,174728.31988166276,104810.13106648998,26748.35364759704,123.59847259521484
5.0,69188.76864068955,105512.93513278663,26772.897975680266,94.74512481689453
5.0,148022.37587125227,191606.14896433058,34780.35713419502,261.3977966308594
5.0,86276.88353872299,247589.45118674636,33789.4516410651,198.05332946777344
5.0,270581.09899652004,44564.179296851165,36964.94816262044,46.11347961425781
5.0,134434.39593674988,33478.48675382789,46296.29629629629,253.9273223876953
5.0,297589.40520632267,7267.029097497442,48199.145219944134,287.5574645996094
5.0,223196.91722085423,204984.90338179472,50323.689278261154,185.67095947265625
5.0,211912.25000000003,203252.98388381305,51234.567901234564,688.3129272460938
5.0,345520.25000000006,261578.66230573785,51234.567901234564,784.04345703125
5.0,251462.5206784811,109516.92476306483,53013.93380871525,307.6616516113281
5.0,17666.402215927832,75618.76068298519,54938.271604938265,18.355627059936523
5.0,343044.35177402943,109240.66691518575,54726.59181665491,379.0019836425781
5.0,159627.63605022058,111652.97452053429,55159.6325488738,153.21743774414062
5.0,164590.12239392195,135498.91276928785,53899.2925926491,214.9974822998047
5.0,166467.30213595182,179943.00666192174,57826.40160601816,122.90657806396484
5.0,33145.34593580663,91384.27195508778,59908.43743453791,125.0791244506836
5.0,275535.65830928093,56117.58756560087,60517.92112397558,66.50279235839844
5.0,24088.342102300372,71118.1377220843,61277.8725999373,75.14311981201172
5.0,318174.2818139047,109508.75,60621.65826191136,360.1231384277344
5.0,104822.86888011871,232275.04370662713,59931.28963458685,413.81414794921875
5.0,277747.9404029548,238903.44247163835,60589.85384894006,308.49658203125
5.0,156015.272718966,347594.9119973407,61385.76145893261,62.93804931640625
5.0,39361.53360366075,266344.0836121142,65369.37370712374,27.821565628051758
5.0,218835.77025547627,76858.36045061052,67023.4402756632,156.51429748535156
5.0,99953.20355283469,262172.61715708673,65820.39684793096,69.4815902709961
5.0,344349.5395162581,192609.45098759982,68518.51851851853,150.30966186523438
5.0,200288.52402062717,130790.60060976446,76289.88020214034,356.2845153808594
5.0,97478.08902890235,295696.9730211981,75370.50600405093,56.02734375
5.0,214425.59076918665,109774.04278561473,77998.09126206386,395.17645263671875
5.0,347527.0380314738,288001.232307598,79038.75451029083,14.408489227294922
5.0,177451.30609909448,64972.37362850364,80124.47217364369,426.85003662109375
5.0,28156.615848481637,274515.89572711295,86057.8316045396,357.34869384765625
5.0,168526.3886689842,289119.5200246358,87080.67499561074,251.73472595214844
5.0,206213.47825166583,105099.02174833417,88005.04161619846,600.0823364257812
5.0,45646.933514941484,184074.2736832006,89563.11072832272,212.656005859375
5.0,151091.4752093032,230548.45070036504,88754.51632487921,334.4139404296875
5.0,87531.09670468699,331695.2040672452,89618.37465564409,204.12867736816406
5.0,86479.02551896125,50654.73223821819,95679.01234567902,24.995759963989258
5.0,181348.69545055926,88859.1922828462,95679.01234567902,44.85379409790039
6.0,111852.75,298347.25000000006,3086.41975308642,699.0057983398438
6.0,69662.57334462926,340835.8002690803,10493.827160493825,22.725170135498047
6.0,30829.8131468147,309727.2684687823,13171.352795612664,54.40177917480469
6.0,16285.808361217363,139142.16555683318,16075.255105524886,43.87269592285156
6.0,228603.02012215182,180728.94381367415,15432.098765432098,72.67819213867188
6.0,323335.5603346825,295055.4597791136,15432.098765432098,30.30350112915039
6.0,94853.67697942816,280679.7552872897,17693.16233234641,234.261474609375
6.0,202975.75,259608.74471148849,20138.793116734352,279.540771484375
6.0,174261.75,105582.09437575936,24074.074074074073,36.629573822021484
6.0,242250.6713637337,11193.7224355936,26543.20987654321,334.8117370605469
6.0,268607.75,158586.25,25943.04886865027,329.7375793457031
6.0,193598.65199579883,205100.41162154078,26746.82298560201,85.9544906616211
6.0,273727.0820435919,42751.40387736261,31651.22300018499,324.8594970703125
6.0,80082.6653617993,246695.65376827124,33784.82315643334,86.70954132080078
6.0,151847.25,191095.76890445128,37522.5894705013,712.3480834960938
6.0,135077.27639669183,33953.81233322621,45434.18520026736,55.272125244140625
6.0,248572.1648023948,109311.43206416072,50900.50020335633,282.1087341308594
6.0,213699.07850302014,202337.08376652005,51234.567901234564,502.5992736816406
6.0,226708.75,205486.56155700982,52417.22400173729,594.6988525390625
6.0,346692.25000000006,259964.25,53465.77439779117,575.27197265625
6.0,163288.24980732426,131190.75,54779.60617453963,518.5938110351562
6.0,164479.59941324592,180401.5040430054,55151.91479597562,232.08282470703125
6.0,20742.293761286874,78636.40473173559,56086.394255176,23.669370651245117
6.0,273967.99456258124,54192.50934395194,58641.97530864197,179.9576873779297
6.0,32508.755697697383,92835.06575085223,59537.23376179919,16.31642723083496
6.0,341125.7781854689,113899.11992730759,58387.6484890043,493.6210632324219
6.0,106514.48431533575,229435.19378292563,60555.97519433057,210.3611602783203
6.0,272700.7034080122,242514.4616857544,61084.79456355174,565.9888305664062
6.0,313735.35152482986,108204.09614453837,62754.866260069386,212.3052520751953
6.0,24276.890742644668,70635.64606125653,63588.94148186125,21.506319046020508
6.0,105112.18480595853,258635.55900719762,63951.676016972386,184.35682678222656
6.0,37870.25,264066.25,63091.45718445012,67.77257537841797
6.0,219771.92823185027,78617.6618122086,69329.83096734976,374.48602294921875
6.0,343468.99037534493,191677.0680369623,69556.97670762922,524.2460327148438
6.0,197492.95592305067,128260.75,73890.97103366144,334.01837158203125
6.0,99741.67505763471,293945.99045833206,76398.43725863799,278.7498779296875
6.0,179877.207322672,65123.57559541613,79431.28604947784,324.2604064941406
6.0,215146.88059960678,112125.14025335759,82345.50809418713,454.2748718261719
6.0,151419.8959669955,231677.60403300452,88255.79359552558,560.7456665039062
6.0,85085.88280233741,333775.69040154666,87217.5825966729,385.37994384765625
6.0,26143.07826045527,276045.03243021667,90555.89170735558,273.848388671875
6.0,171831.9012233317,290564.3443963751,91012.27650671829,386.87860107421875
6.0,207991.16837707162,103355.75,93426.50868642477,487.6691589355469
6.0,34192.08468258381,299075.83831611276,93322.37466249935,22.161781311035156
6.0,183359.63166667896,88011.86283628643,95679.01234567902,73.35506439208984
6.0,45306.83525872976,181134.96745453402,94632.5773810163,205.7199249267578
7.0,126742.61110773683,24968.535892307755,3086.41975308642,212.6060028076172
7.0,322357.7165490054,297079.631719321,3208.914104803109,94.56977844238281
7.0,70045.69833570719,343289.7676703185,3086.41975308642,21.9867000579834
7.0,109071.57381809037,295576.8709376157,5041.368581630565,198.21798706054688
7.0,321787.25,295461.5859116763,12139.434578977985,290.06317138671875
7.0,28833.433803275228,313339.57826037705,11345.031158423717,93.30626678466797
